,Description,num1,div,num2,unit
1254,TOOTHPICK WOOD MINT CELLO WRP,1,/,1000,ct
1255,CILANTRO FRESH ICELESS,1,/,30,ct
1256,CEREAL HOT GRITS QUICK,12,/,12,ct
1257,CABBAGE DICED W/SEP COLOR,4,/,5,lb
1258,LETTUCE GREEN LEAF FRESH,4,/,6,ct
1259,VEGETABLE BLEND GARDEN GR A,6,/,4,lb
1260,BATTER MUFFIN SUNRISE,6,/,3,lb
1261,LETTUCE ROMAINE FRESH W/LINER,1,/,24,ct
1262,YOGURT PEACH LIGHT,12,/,6,oz
1263,PEPPER RED HOT HSE #1,1,/,11,lb
1264,CAULIFLOWER FLORET LRG CUT,2,/,3,#
1265,LINER REPRO 40X46 1.5 ML BLK,100,/,40-45,g
1266,SNACK BAR DOUBLE CHOC OATMEAL,144,/,1.24,oz
1267,SWORDFISH STEAK READY LOIN FSH,1,/,10,avg
1268,SAUSAGE BEEF SMKD ROPE,1,/,11,lb
1269,MILK STRAWBERRY 1% SHLF STBLE,12,/,14,oz
1270,CHICKEN CVP 8PC CUT FRSH,16,/,3,# avg
1271,BEAN WAX CUT P,12,/,2,lb
1272,DESSERT BAR ASST,1,/,4,ct
1273,SPROUT ALFALFA FRESH,6,/,4,oz
1274,PIE APPLE RTB 10,6,/,46,oz
1275,BEEF CORNED BTM RND FLT CKD DF,2,/,6,#avg
1276,COCOA PWDR,3,/,1,kg
1277,"LID DOME F/ 7"" RND",500,/,,ct
1278,TOWEL ROLL NOPERF 7.9 EARTH+,6,/,800,ft
1279,CUP PAPER CLD POLY 5OZ,24,/,50,ct
1280,TISSUE FACIAL 2PLY FLAT WHT,30,/,100,ct
1281,TRAY FOOD PAPR RED PLAID 3LB,2,/,250,ct
1282,CONTAINER PAPER RND 16/LID,250,/,,ea
1283,TRAY FOOD PAPR 4OZ,4,/,250,ct
1284,SAGE FRESH HERB,1,/,8,oz
1285,BEEF CORNED BRSKT CH RAW FRSH,1,/,10,#avg
1286,CHICKEN CVP BRST B/S WHL 5 OZ,4,/,5,lb
1287,FISH FILET RED FRSH,1,/,10,lb
1288,PARSLEY BUNCH FRESH,1,/,30,ct
1289,SAUSAGE ITAL LNK CKD N/C 4X1,1,/,11,lb
1290,CLEANER VEG FRUIT ANTIMICRO,1,/,2.5,gal
1291,DANISH ASST MINI 1.25 OZ,4,/,24,ct
1292,BRATWURST CKD ULTIMATE 5X1,2,/,5,lb
1293,TOWEL ROLL NON-PERF 7.87 NAT,12,/,350,ft
1294,CHEESE RICOTTA WHL MILK WHPD,2,/,5,lb
1295,MILK NON-FAT LACT FREE,12,/,8,oz
1296,PORK CHOP CC B/I 4OZ XTRA TNDR,1,/,10,lb
1297,BOWL PLAS CLR PET 24OZ PRSNTBL,4,/,63,ct
1298,BAG PAPER BRN SHOPR W/HDL 65#,1,/,250,ct
1299,YOGURT VANILLA GREEK NON FAT,12,/,5.3,oz
1300,CREAM LIGHT,12,/,1,qt
1301,SAUCE WORCESTERSHIRE GLT FREE,4,/,1,gal
1302,DOUGH COOKIE CHOC CHP DBL,160,/,2,oz
1303,DRINK ENERGY REDBULL SF,24,/,8.4,oz
1304,PIE KEY LIME 14 CT 12 IN,4,/,83,oz
1305,SAUSAGE ITAL ROPE MILD,1,/,12,lb
1306,CHICKEN CVP 8PC CUT FRESH TRIM,16,/,3,#avg
1307,TORTILLA FLOUR PRESSED 6 IN,24,/,12,ct
1308,POLENTA INSTANT,12,/,17.6,z
1309,DRINK FRUIT SPRKL ORNG CAN,12,/,11.16,z
1310,TOMATO ROMA JMBO FRSH,1,/,25,lb
1311,BAR GRANOLA YOGURT STRAWBERRY,12,/,8,ct
1312,BEEF PASTRAMI BTM RND FLT SEL,2,/,6,#avg
1313,COD LOIN 4OZ IQF MSC,1,/,10,lb
1314,TISSUE TOILET WRPD 4X3.75 2PLY,96,/,500,ct
1315,STRIP CHICKEN-FREE LTY SEASON,2,/,5,lb
1316,TRAY FOOD PAPR 6OZ,4,/,250,ct
1317,PATTY VEG ORIGINAL VEGGIE BURG,48,/,3.4,oz
1318,BEEF BONE FEMUR,1,/,60,#avg
1319,LID PLASTIC FLAT NO SLOT,1,/,,1000
1320,PICK WOOD FRILL 4 IN,1,/,1000,ct
1321,ICE CREAM BUTTER PECAN,1,/,3,gal
1322,MUSHROOM PORT BABY ORGANIC,6,/,8,oz
1323,TOMATO GREEN FRESH,1,/,25,lb
1324,DOUGH BISCUIT WHL GRN EZ SPLIT,216,/,2.51,oz
1325,FUEL CANNED GREEN HT,72,/,2,hr
1326,CHEESE RICOTTA DELI WM,6,/,3,#
1327,BEEF ROAST POT SHLDR CLD CH FZ,1,/,12,#avg
1328,DOUGH COOKIE CHOC CHNK SUPREME,240,/,1.33,oz
1329,DOUGH COOKIE SHORTBRD SUPREME,240,/,1.33,oz
1330,BAG PAPER BRN 12LB,1,/,500,ct
1331,DOUGH BALL PZZ,22,/,21,oz
1332,JUICE APPLE CONC DISP 6X1,4,/,90,oz
1333,MUSTARD DIJON SQZ BTL,12,/,10,oz
1334,PARSNIP FRESH,1,/,20,lb
1335,BREAD BAGUETTE FRENCH PRBKD,24,/,10,oz
1336,CUP PAPER HOT SMRE-12 2013,1000,/,12,oz
1337,BAG PAPER SAND GRS RESIST WHT,1,/,2000,ct
1338,CHEESE GOUDA SMOKED,2,/,6,#avg
1339,BREAD WHEAT BERRY SLI,8,/,24,oz
1340,OIL TRUFFLE WHT,6,/,8.4,oz
1341,CELERY STICK FRESH 4 IN,4,/,5,lb
1342,ICE CREAM BAR HOMEMADE VAN,2,/,24,ct
1343,BEEF EYE OF RND CH,6,/,5,#avg
1344,TOMATO FRESH SLI,2,/,5,lb
1345,CEREAL HOT OATMEAL VARIETY,64,/,.98,oz
1346,DRINK MIX RASP ON THE GO,4,/,30,ct
1347,PICKLE SLI DILL HAM KK 1/8 PLS,4,/,1,gal
1348,PLATE PLAS IMPACT BLK 6 HEFTY,8,/,125,ct
1349,BEAN GREEN WHL POLY FROZ,12,/,2,lb
1350,SLEEVE PAPER WPS 12/16/20 OZ,1,/,1380,ct
1351,DATE DRIED PITTED CALIFORNIA,1,/,5,lb
1352,CUP PAPER CLD POLY 20 OZ,24,/,50,ct
1353,TISSUE FACIAL 2PLY FLAT WHT,30,/,100,ct
1354,CONTAINER PLAS GRNWARE SQ 3CPT,6,/,50,ct
1355,DILL BABY FRESH HERB,1,/,1,lb
1356,SPOON PLAS REFILL BIO SMRTSTK,24,/,40,ct
1357,MONKFISH FILET FRSH,1,/,10,lb
1358,CRACKER TOAST PEANUT BUTR,12,/,8,ct
1359,ICE CREAM CHOC CHIP,1,/,3,gal
1360,CEREAL APPLE JCK RED SUG BWLPK,96,/,1,oz
1361,HAT CHEF PAPR PLEATD SZR WHT,12,/,10,in
1362,HAT CHEF PAPR PLEATD SZR WHT,12,/,7,in
1363,PICK WOOD FRILL 3 IN,1,/,1000,ct
1364,TOOTHPICK WOOD RND CELLO WRPD,12,/,1000,ct
1365,CILANTRO CLEAN WASH FRESH HERB,4,/,1,lb
1366,DOUGH PUFF PASTRY SQUARE 5X5,120,/,2,oz
1367,BAG PAPER BRN 1/6BBL 57LB,1,/,500,ct
1368,PEPPER GREEN BELL XLARGE,1,/,25,#avg
1369,DOUGH PIZZA WHOLE GRAIN FTO,24,/,12x16,""""
1370,DOUGH PIZZA WHL GRN SHT 6,72,/,6,""""
1371,SHAKE VANILLA BEAN PKT,24,/,11,oz
1372,PIE BLUEBERRY LMN MER 10CT,4,/,46,oz
1373,KALE FRESH VEG BLEND,5,/,2,lb
1374,SAUSAGE ITAL ROPE MILD N/C,2,/,5,lb
1375,GUACAMOLE ORIGINAL MILD,12,/,1,lb
1376,RICE BROWN WHOLE GRAIN,1,/,25,lb
1377,PIZZA CRUST PRBK GLUTEN FREE,24,/,10,""""
1378,SPREAD CHOC NUTELLA JAR FDSRV,12,/,26.5,oz
1379,CANDY GUM SPEARMINT,4,/,12,ct
1380,BUN HOAGIE WHT 6 HNGD HARTHBK,12,/,6,ct
1381,"BREAD WHEATBERRY DELI11/16""SLI",6,/,32,oz
1382,CHIP TORTILLA OLIVE NAT,24,/,1.5,oz
1383,CHEESE BRIE IN TIN,12,/,4.25,oz
1384,PEPPER BELL YEL HOTHOUSE #1,1,/,11,lb
1385,SCALLOP SEA DRY U/10 CT USA,1,/,1,gal
1386,BUTTERMILK REG,12,/,1,qt
1387,MILK CHOC 1% SHELF STABLE,12,/,14,oz
1388,HAM CAPICOLA HOT,2,/,7,# avg
1389,GRAIN SPECIALTY QUINOA,1,/,25,lb
1390,PASTA PENNE RIGATE WHL GRN 100,2,/,10,lb
1391,SWORDFISH FRESH WHEEL CUT,1,/,10,lb
1392,LID PLAS TRANS F/12-20OZ CUP,12,/,100,ct
1393,ROSEMARY FRESH HERB,1,/,4,oz
1394,SAUCE SWEET & SOUR,5,/,6,lb
1395,BREADSTICK GARLIC,125,/,8,in
1396,PICK ARROW PLAS BLK 3.5,1,/,1000,ct
1397,VEAL GROUND 396 BOB FRZ,2,/,5,# avg
1398,YOGURT FROZEN VANILLA NON-FAT,1,/,3,gal
1399,SALAMI GENOA MAGNIFICO,2,/,5-6,#av
1400,PIEROGI POT/CHS,192,/,1.33,oz
1401,CUP PLAS INSERT 3OZ COMPOST,1000,/,3,oz
1402,ONION RED MED FRESH,1,/,25,lb
1403,DOUGH ROLL HOMESTYLE,288,/,1,oz
1404,TOMATO CHERRY FRESH,12,/,1,pt
1405,DOUGH COOKIE WHT CHOC CRAN,240,/,1.33,oz
1406,SAUCE ALFREDO POUCH GLUTFR,4,/,64,oz
1407,ORANGE NAVEL CH FRESH,1,/,113,ct
1408,ICE CREAM BAR SUND STRAW KRNCH,2,/,24,ct
1409,JUICE VEG PLAS,6,/,46,oz
1410,PUMPKIN FRESH MINI,1,/,40,ct
1411,CHEESE PROVOLONE,3,/,12,#avg
1412,FRANK ALL-BEEF 8X1 6 IN,1,/,10,lb
1413,CANNOLI SHELL SM,120,/,.5,oz
1414,"BREAD TEXAS TOAST YEL3/4""THKSL",8,/,24,oz
1415,BLINTZ CHEESE 2.25 OZ,12,/,12,ct
1416,BREAD PULLMAN CINN RSN 1/2SLI,6,/,32,oz
1417,PUDDING CHOCOLATE FRSH RTU,48,/,4,oz
1418,"BUN HOAGIE WHITE 8"" HINGD",12,/,6,cnt
1419,SAUCE SOY CHEF SEL,6,/,64,oz
1420,CUP PLASTIC MINI KOVA CLR,1,/,300,ct
1421,BATTER CHEESECAKE CREAM CHEESE,4,/,48,oz
1422,SOUP MINESTRONE CONC,3,/,4,lb
1423,CUCUMBER PICKLING FRESH,1,/,20,lb
1424,DOUGH BALL PIZZA 9OZ,48,/,9,oz
1425,CRACKER CHEESE PEANUT BUTR,12,/,8,ct
1426,BOLOGNA SLI ALL-MT .5 OZ,12,/,1,lb
1427,TOMATO BULK #2 LOOSE FRESH,1,/,25,lb
1428,"LID PAPER HOT F/8,12,16 CONTNR",10,/,50,ct
1429,TORTILLA ROUND GLUTEN FREE 9,10,/,6,ct
1430,FUEL CANNED HT SUPER WICK,24,/,4,hr
1431,ONION YELLOW SUPER COLOSSAL,1,/,50,lb
1432,PEAR SLICED CHOICE EXTRA LS,6,/,,#10
1433,HAM BUFFET BNLS 35%H&W BRNZ MD,2,/,10-14,#
1434,DOILY LACE RND WHT 10 IN,1,/,,1000
1435,DOILY LACE RND WHT 12 IN,1,/,1000,ct
1436,DOUGH BALL PZZ,18,/,26,oz
1437,DRINK LMNADE CONC 6X1,4,/,90,oz
1438,JUICE ORANGE CONC 5X1 ORIG,4,/,90,oz
1439,CONTAINER PLAS CLR HNG 8IN,2,/,100,ct
1440,BEEF ROAST TOP RND C\O MR SPT,2,/,7,#avg
1441,CHEESE MOZZARELLA PIZZA BLEND,4,/,5,lb
1442,CRACKER PEANUT BTR TOAST 24/6P,144,/,.93,oz
1443,MUSSEL WHL BLUE VP 23-29 CAN,10,/,1,lb
1444,TURKEY PASTRAMI CLASSIC,4,/,3.8,#av
1445,CONTAINER PAPER PAGODA W/HNDL,500,/,16,oz
1446,TORTILLA FLOUR PRESS 10,12,/,12,ct
1447,CEREAL CORN FLAKE BWLPK WG,84,/,1,oz
1448,BREAD FLAT PAR BKD 6X13,8,/,10,ct
1449,SOUP CHICKEN BAJA ENCHILADA,4,/,4,lb
1450,BREAD PULLMAN WHT 1/2 SLI,10,/,24,oz
1451,SLEEVE PAPER F/12-20OZ HOT CUP,1200,/,,ct
1452,CHIP TORTILLA CORN WHITE 6CUT,1,/,30,lb
1453,FORK PLAS PP HVY BLK FULL LENG,1,/,1000,ct
1454,DOUGH ROLL CINN PET HMSTY,240,/,1.5,oz
1455,SEASONING MESQUITE GRL MATE,1,/,24,oz
1456,DESSERT BAR MSHMLW GLUTEN FREE,8,/,1,lb
1457,BEEF BRISKET WHL TRIMMED,4,/,1,pc
1458,CONTAINER PLAS MICR BLK LID 9,150,/,48,oz
1459,CAULIFLOWER FRESH ORGANIC,1,/,16,ct
1460,CONTAINER PAPER PLA DFRE32 ECO,500,/,32,oz
1461,PRETZEL NUGGET BITES .35 OZ,3,/,2,lb
1462,CHEESE MOZZ LMWM LOAF PREM,8,/,6,lb
1463,COOKIE SUGAR 324 CT,1,/,10,lb
1464,SOUP CHICKEN LMN ORZO,4,/,8,lb
1465,TEA BAG CHAI,6,/,24,ct
1466,BASIL FRESH HERB HYDRO,1,/,1,lb
1467,CHEESE RICOTTA WHIPPED,4,/,5,lb
1468,DOUGH BISCUIT SOUTHERN STYLE,216,/,2.2,oz
1469,BAG PAPER WHT 12LB,1,/,500,ct
1470,LID CONTAINER PLAS MILK JUG,2200,/,,each
1471,ORANGE NAVEL FANCY FRESH,1,/,88,ct
1472,DOUGH COOKIE BUTTER SUGAR,160,/,2,oz
1473,CHEESECAKE STWBRY BRULEE,2,/,55,oz
1474,TORTILLA FLOUR PRSSD 6,24,/,12,ct
1475,HAM SLICED SMK HARDWD 1 OZ FSH,4,/,3,lb
1476,TOMATILLO DESHUCKED FRSH,1,/,40,lb
1477,ICE CREAM VAN,1,/,3,gal
1478,DOUGH PIZZA WHL GRN SHT 16 RE,15,/,22,oz
1479,JUICE VEG LOW SODIUM PET,6,/,46,oz
1480,FENNEL ANISE FRESH,1,/,12,ct
1481,FUEL CANNED STEM WICK GREEN,24,/,6,hr
1482,LAMB RACK NZ 3531 FRCHD HALAL,24,/,12-14,z
1483,MEATBALL PK/BF ITAL STYL 1OZ,2,/,5,lb
1484,BEEF CORNED BTM RND FLT CKD 35,3,/,5-8,#av
1485,BEEF PASTRAMI BTM RND FLT SOY,3,/,5-8,#av
1486,MUFFIN ENGLISH SANDWICH 3 OZ,6,/,8,ct
1487,CAKE LYR CHOC LOVIN SPOON 14CT,4,/,100,oz
1488,ICE ITALIAN LEMON CUP,72,/,4,oz
1489,LID PLAS CLR PULP 9X7 F/PLTR,1,/,300,ct
1490,BOWL PAPER PULP OVAL 6X9,1,/,300,ct
1491,SEASONING BBQ RUB GRL MATE,1,/,27,oz
1492,VEAL LEG CUTLET POUNDED,40,/,4,oz
1493,SOUP ONION FRENCH CONC,3,/,4,lb
1494,CHEESE CHEDDAR MILD PRINT YEL,1,/,10,lb
1495,EGGPLANT FRESH ORGANIC,1,/,20,lb
1496,PEA SNAP FRSH ORGANIC,1,/,10,lb.
1497,LEMONADE FRESH PLS BTL,12,/,11.5,oz
1498,LID PLAS NO SLOT F/9-22OZ CUP,10,/,100,ct
1499,CHIP POTATO KTL ORIG 40%LF,64,/,1.375,z
1500,SAUCE CHILI SRIRACHA,4,/,.5,gal
1501,CONTAINER PLAS MICRO BLK W/LID,150,/,24,oz
1502,SOUP TOMATO BASIL BISQUE,4,/,4,lb
1503,MIX WAFFLE BELGIAN COMPLT,6,/,5,lb
1504,CHEESE SWISS BABY WHEEL,2,/,5,lb
1505,SNACK BAR CARAMEL ALMD SEA SLT,6,/,12,ct
1506,MIX PANCAKE MULTIGRAIN COMPLT,6,/,5,lb
1507,CANDY M&M PEANUTS,1,/,48,ct
1508,WATER SPRING,6,/,1,gal
1509,ICE CREAM CHOC,1,/,3,gal
1510,YOGURT STRAWBERRY WHIPS,12,/,4,oz
1511,RAVIOLI CHEESE JUMBO IQF 6 CHS,100,/,1.2,oz
1512,SLEEVE PAPER HOT PLAIN KRAFT,1200,/,8-10,oz
1513,DOUGH PUFF PASTRY SHEET 10X15,20,/,12,oz
1514,TOWELETTE MOIST HOT/COLD LRG,250,/,"8""x10",""""
1515,DANISH ASST MINI 1.25 OZ,5,/,10,ct
1516,ORANGE NAVEL CH FRESH,1,/,138,ct
1517,DOUGH BALL PZZ,32,/,16,oz
1518,BANANA LEAVES,20,/,1,lb
1519,CHEESE RICOTTA NY ORG STYLE,6,/,5,lb
1520,CHIP TORTILLA 3 COLR TRIANG,6,/,2,lb
1521,POTATO REDSKIN DICED MEGA FRSH,2,/,10,lb
1522,CHEESE MONTEREY JACK LOAF,2,/,5,lb
1523,BEEF BONE FEMUR,1,/,30,#avg
1524,CONTAINER PAPER 8/PAPER LID,250,/,,ea
1525,SUGAR SUBSTITUTE PK BLND POUCH,12,/,6.6,oz
1526,CHICKEN CVP BRST B/S 6 OZ,4,/,5,lb
1527,POLLOCK FILET ALSK LMN/PPR 4Z,1,/,10,lb
1528,FRANK ALL-BEEF 5X1,2,/,5,lb
1529,BREAD CINN RSN DELI 3/8 SLI,12,/,16,oz
1530,SPOON PLAS PP HVY BLK FULL LEN,1,/,1000,ct
1531,CHICKEN BRST B/L S/L WHL RNDM,4,/,10,lb
1532,MANICOTTI 5 IN,72,/,3,oz
1533,ONION VIDALIA FRSH,1,/,40,lb
1534,HAM PROSCIUTTO DOM AGED,1,/,9-11,#
1535,DUCK LEG & THIGH BONE IN,36,/,8-10,z
1536,PEACH DICED IN PEAR JUICE BOWL,48,/,4,oz
1537,PUDDING VANILLA RTU NSA,48,/,4,oz
1538,JUICE ORANGE MANGO PLS BTL,12,/,11.5,oz
1539,SALMON KETA SIDE SKON PBO,1,/,20,lb
1540,LID PLAS SLOT F/32 OZ TC32,10,/,50,ct
1541,CUP HOT 12 OZ WPS PLA,1000,/,12,oz
1542,MELON HONEYDEW,1,/,9,ct
1543,POPCORN CHDR WHT DELIGHT,72,/,.5,oz.
1544,CHIP POTATO RIDGED QUESO,64,/,1.5,oz
1545,SALAD FRESH GRDN,10,/,5,oz
1546,SALAD FRESH CAESAR W/CHICKEN,10,/,7.5,oz
1547,CHICKEN BONE BACKS FRZN,1,/,40,lb
1548,SOUP BASE CHKN NO MSG ADDED,6,/,1,lb
1549,TOWELETTE MOIST RYL FINGERBOWL,1000,/,,each
1550,SAUCE CHILI THAI SWEET/SPICY,6,/,4.85,lb
1551,LETTUCE SHREDDED 1/8 FRESH,4,/,5,lb
1552,CABBAGE RED SHREDDED FRESH,4,/,5,lb
1553,RAVIOLI LOBSTER SQUARE JUMBO,2,/,3,lb
1554,SAUSAGE KIELBASA BULK ROPE,6,/,3,# avg
1555,SAUCE CURRY,2,/,4,lbs
1556,BEAN CANNELLINI,1,/,10,#
1557,PERCH OCEAN NAT BRD BLZN 2.5,1,/,10,lb
1558,PORK RIB LOIN BCK2.25-2.0# AKA,4,/,4,pc
1559,CANDY BAR SNICKER 1.86 OZ,8,/,48,ct
1560,SNACK MIX CHEX SMPLY STRAW YOG,60,/,1.03,oz
1561,CELERY PASCAL FDSVC,1,/,6,ct
1562,LETTUCE ROMAINE FDSVC,1,/,12,ct
1563,BEAN GREEN WHOLE IQF,1,/,15,lb
1564,TRAY CARRIER 4CUP MOLDED FIBR,1,/,300,ct
1565,BOLOGNA STK ALL-MT BRONZE LBL,1,/,10,lb
1566,PIE COCONUT CUSTARD RTB 10,6,/,42,oz
1567,PRETZEL SOFT KNG,50,/,5,oz
1568,TRAY FOOD PAPR 1LB,4,/,250,ct
1569,TRAY FOOD PAPR 3LB,2,/,250,ct
1570,THYME FRESH HERB,1,/,1,lb
1571,CAP BOUFFANT NONWOVEN 21 WH,1,/,100,ct
1572,BAG PAPER WHT 20LB,1,/,500,ct
1573,SNACK CHEESE PUFF RFAT WG HOT,72,/,0.7,oz
1574,APPLESAUCE ORIGINAL PET,8,/,48,oz.
1575,DOUGH BISCUIT SOUTHERN STY MIN,210,/,1.2,oz
1576,PEPPER JALAPENO NACHO SLI,4,/,1,gal
1577,MANICOTTI 2.75 OZ PREPARED,4,/,24,ct
1578,NUT CASHEW RSTD UNSLTD,3,/,2,lb
1579,SCALLOP IQF WTR ADD 80/120 CHN,2,/,5,lb
1580,CHEESE CHEDDR MILD LOAF YEL,2,/,5,lb
1581,TORTILLA FLOUR PRESSED 10 IN,12,/,12,ct
1582,DOUGH COOKIE CHOC CHNK 2 OZ,5,/,4,lb
1583,SAUSAGE CHORIZO LINK N/C 4X1,1,/,10,lb
1584,RAVIOLI MEAT PRECOOKED,3,/,3,lb
1585,SPICE SESAME SEED,3,/,5,lb
1586,KNIFE PLAS PP HVY WHT FULL LEN,1,/,1000,ct
1587,MILK HOMOGENIZED ESL,6,/,.5,gal
1588,SOUP PEA SPLIT W/HAM CONC,3,/,4,lb
1589,FILLING PIE PEACH,6,/,,#10
1590,CUP PAPER HOT BIODEG 12OZ CB,20,/,50,ct
1591,PASTA ACINI DI PEPE,2,/,10,lb
1592,TOMATO PEAR RED FRESH,12,/,.5,pt
1593,CHICKEN CVP WHL WOG FRESH,16,/,2.5,#av
1594,DOUGH COBBLER CRUST SHEET,24,/,1,lb
1595,CONTAINER PLAS LIGHT BLUE MH30,300,/,,each
1596,CEREAL CHEERIO FRUITY BOWLPAK,96,/,1.125,z
1597,BREAD TOAST TEXAS 3/4 SLI,10,/,25.6,oz
1598,PIE CHERRY RTB 10,6,/,46,oz
1599,SHALLOT PEELED FRESH,4,/,4,lb
1600,TOWEL ROLL NOPERF 350 EARTH+,12,/,350,ft
1601,LID PLAS CLR F/SQ GRNWARE CNT,6,/,50,ct
1602,ICE CREAM CHOC CHIP COOKIE DGH,1,/,3,gal
1603,MILK CHOCOLATE 1% PLS ESL,12,/,14,oz
1604,SHERBET RAINBOW,1,/,3,gal
1605,POTATO KENNEBEC FRESH,1,/,50,lb
1606,DONUT ASST,104,/,1.6,oz
1607,CUP BAKING PAPR 2X1-1/4 FLTD,2000,/,4-1/2,""""
1608,EGGPLANT FRESH ORGANIC,1,/,24,ct
1609,YOGURT PLAIN GREEK WM 4% FAT,6,/,32,oz
1610,BOWL PLAS CLR PET 32OZ PRSNTBL,4,/,63,ct
1611,PEACH SLICED CH EXTRA LS,6,/,,# 10
1612,BAG PAPER BRN 20LB,1,/,500,ct
1613,CHEESE AMER YEL 160 SLI RF RS,4,/,5,lb
1614,DOUGH PIZZA WHL GRN SHT 16,24,/,18,oz
1615,JUICE GRAPE CONC 5X1 MINPAC,4,/,90,oz
1616,DOUGH PIZZA SHEETED 16IN,20,/,26,oz
1617,OKRA CUT IQF,12,/,3,lb
1618,CHEESE CHEDDAR MILD BLOCK YEL,1,/,42,#avg
1619,BEEF CORNED BTM RND FLT CKD 15,3,/,5-8,#av
1620,BOLOGNA STK ALL-MT,1,/,10,#avg
1621,SUGAR SUBSTITUTE GRANULAR,8,/,9.7,oz
1622,TOMATO SUNDRIED JULIENNE,1,/,5,lb
1623,PASTRY SHELL PHYLLO 1 IN,2,/,45,ct
1624,PUDDING VANILLA FRSH RTU,48,/,4,oz
1625,DOUGH SCONE VARIETY PACK FTO,96,/,3.75,oz
1626,PEPPERONI STICK SANDWICH STYLE,4,/,3-4,#av
1627,ICE ITALIAN LEMON TUBE,24,/,4,oz
1628,SAUCE WORCESTERSHIRE,12,/,5,oz
1629,CHEESE MONTEREY JACK PRINT,1,/,10,lb
1630,SPREAD CHOCOLATE HZLNT PC,120,/,.52,oz
1631,WATER SPRING,48,/,8,oz
1632,BUTTERMILK NFAT,9,/,.5,gal
1633,FILLING PIE APPLE,6,/,,#10
1634,LAMB LEG DOM 234A BRT (BRN) FZ,2,/,6,# avg
1635,CHICKEN CVP LEG QUARTER SMALL,4,/,10,lb
1636,MILK COCONUT ORIG ESL,6,/,64,oz
1637,TURKEY TOM GR A WHL 20-24,2,/,20-24,#
1638,SAUSAGE POLISH LNK SMKD 5X1,1,/,10,lb
1639,SPROUT CLOVER,1,/,5,lb
1640,CONTAINER PLAS TEAR STRIP LOCK,256,/,12,oz
1641,BREAKFAST BAR CHERRIOS STWBRY,96,/,1.42,oz
1642,BAG SAND NAT DBLVW W/TRAY,250,/,,ea
1643,KNIFE PLAS BLK MED WRPD,1,/,1000,ct
1644,CHIP POTATO ORIG,36,/,1.3,oz
1645,CUP PLAS INSERT COMBO PLA W/LD,500,/,,ct
1646,GREEN MICRO BULLS BLOOD,1,/,8,oz
1647,CILANTRO FRESH HERB,1,/,1,lb
1648,CONTAINER PLAS GRNWARE SQ 2CPT,6,/,50,ct
1649,CARTON FRY SCOOP 5OZ,20,/,50,ct
1650,SHERBET RAINBOW,1,/,3,gal
1651,TOOTHPICK WOOD MINT PAPR WRPD,12,/,500,ct
1652,TOWEL KITCHEN 9X11 2PLY WHT,30,/,84,ct
1653,DRINK ENERGY ZERO ULTRA,24,/,16,oz
1654,STRAWBERRY SLI 4X1,6,/,6.5,lb
1655,LEMON CH FRESH,1,/,200,ct
1656,DOILY LACE ROUND WHITE 5IN,1,/,,1000
1657,CHEESECAKE VANILLA BEAN BRULEE,8,/,4,ct
1658,DOUGH ROLL CINNAMON TWIST,52,/,4.25,oz
1659,PASTA SHELL STFD W/CHS 96/2.25,96,/,2.25,oz
1660,GLOVE NITRILE FDSRV PF BLU MED,10,/,100,ct
1661,PASTA RAVIOLI CHS JMBO WLGN CN,2,/,5.2,lb
1662,CONTAINER PLAS CLR HNG 3C 9IN,2,/,100,ct
1663,CRACKER CHEESE ON CHS 24/6 PK,144,/,.93,oz
1664,DOUGH PIZZA SHEETED 14IN,28,/,19,oz
1665,STEAK BEEF CUBED UNBRD RAW,40,/,4,oz
1666,BREAD GARLIC BTRTP 4.5 SLI,1,/,125,ct
1667,RAVIOLI CHEESE SQR PRCK,3,/,3,lb
1668,PASTA TORTELLINI RAINBOW PRCKD,3,/,3,lb
1669,WATER FLAVOR VITMN BIB XXX,1,/,2.5,gal
1670,SPREAD CHOC HZNUT NUTELLA,2,/,6.6,lb
1671,SALAD FRUIT CHPOG LT SYRUP,1,/,8,lb
1672,ICE CREAM SANDWICH VAN,24,/,6,oz
1673,SOUP ITALIAN WEDDING CONC,3,/,4,lb
1674,SOUP CHICKEN NOODLE CONC,3,/,4,lb
1675,SOUP TOMATO BASIL CRMY BISQUE,3,/,4,lb
1676,TORTILLA CORN YELLOW 6 THIN,12,/,60,ct
1677,SODA ORANGE ARANCIATA CAN,24,/,330,ml
1678,BAG PAPR NAT DELI TO GO W/WIN,1,/,500,ct
1679,SHALLOT PEELED FRESH,4,/,4,lb
1680,RAVIOLI BEEF JUMBO ROUND 130CT,2,/,5,lb
1681,PLATE FOAM HVY LAM BLK 6IN,8,/,125,ct
1682,MUSHROOM SLI FRESH,1,/,10,lb
1683,KALE FRESH GRN SHRD 1/8 SEPCOL,4,/,1.5,lb
1684,BREAKFAST BAR TRIX,96,/,1.42,oz
1685,BREAD BUN BRIOCHE 4 SL,8,/,12,ct
1686,SAUSAGE ITAL ROPE RAW,3,/,3.33,lb
1687,YOGURT STR/BLU LT&FT GREEK,12,/,5.3,oz
1688,ICE CREAM STRAWBERRY,1,/,3,gal
1689,PIE BOSTON CRM 10 T&S,6,/,33,oz
1690,CUP PAPER HOT TALL 12OZ,20,/,50,ct
1691,CUP PAPER HOT 20 OZ,20,/,25,ct
1692,CONTAINER PAPER RND 12/LID,250,/,,ea
