,Description,num1,div,num2,unit
317,DRINK TEA PEACH,12,/,16,oz
318,TOFU FRESH FIRM,12,/,19,oz
319,ICE CREAM FUDGE TRACKS,1,/,3,gal
320,LID MUG BOWL FENWICK,1500,/,5&8,oz
321,KNIFE PLAS MW BLK BULK,1,/,1000,ct
322,TURKEY BRST FRCH CUT RTC,4,/,8,#avg
323,TURKEY SAUSAGE LINK RAW,160,/,1,oz
324,GRAIN SPCLTY CHIA SEED WHT,1,/,10,lb
325,BAG PLAS 8X4X18 .7 MIL REG WT,1,/,1000,ct
326,GRAPE RED SEEDLS LG,1,/,,ctn
327,GRAPE RED SEEDLS MED,1,/,,ctn
328,TURKEY BRST MESQT SMKD,2,/,8,#avg
329,KALE FRESH MIXED BABY,2,/,1.5,lb
330,CEREAL ASSORTED WELLNESS CUP,60,/,,ea
331,SPICE MUSTARD SEED WHL,1,/,22,oz
332,CONTAINER CORR INSUL BEV 96OZ,25,/,,6x6x8
333,DOUGH PIZZA WHITE FE FTO 16,18,/,26,oz
334,BACON CANADN STY NAT JUICE,2,/,3-4,#av
335,CELERY STICK FRESH,1,/,5,lb
336,POTATO BAKING IDAHO 50CT FRSH,1,/,50,lb
337,CHEESECAKE NEW YORK 16 CT,4,/,68,oz
338,ONION RED FRESH JUMBO,1,/,5,lb
339,YOGURT MIXED BERRY ORIGINAL,12,/,6,oz
340,YOGURT CHERRY ORIGINAL,12,/,6,oz
341,PASTA LINGUINI FINI,2,/,10,lb
342,LIME FLORIDA FRESH,1,/,54,ct
343,DESSERT BAR OREO BROWNIE STACK,8,/,8,ct
344,POTATO DICED REDSKIN FRSH,4,/,5,lb
345,DOUGH ROLL PARKERHOUSE,288,/,1.2,oz
346,BUTTER BALL .25 OZ SALTED BAG,3,/,3,lb
347,PLATE PLAS CLR 6 ETCHED,12,/,20,ct.
348,OIL OLIVE PURE,4,/,3,ltr
349,TRAY PLAS CATER BLK FLT SMRTLK,25,/,16,in
350,LID PLAS DOME F/SMRTLK TRAY CL,25,/,16,""""
351,DOUGH BAR BRY 3OZ,60,/,3,oz
352,PEA SUGAR SNAP FRSH STRINGLESS,4,/,2,lb
353,CONE WFFL BOWL 87060,6,/,10,ct
354,WRAP DRY WAX DELI 12X12 FLAT,1,/,2000,ct
355,POLLOCK FLT IQF 4-6OZ CHN,1,/,10,lb
356,CHICKEN BRST STRIP TEMPURA RAW,2,/,5,lb
357,PRETZEL THIN,20,/,4,oz
358,SEASONING SEAFOOD,1,/,1,# tin
359,STEAK FILET TIPS FRSH,2,/,5,#avg
360,BAR GRANOLA CHOC CHIP CHEWY,12,/,8,ct
361,TRAY PAPR FD PLYCTD .25LB,4,/,250,ct
362,DOUGH SCONE BLUBRY FTO3.75OZ,96,/,3.75,oz
363,BREAD WHITE HRTY CNTRY SLI,10,/,24,oz
364,lettuce,,,case 12,head
365,BEEF SIRLOIN TRI TIP,2,/,15,#
366,BEAN GARBANZO LOW SODIUM,6,/,,#10
367,POTATO FRY TWISTER ORIG BTTERD,6,/,5,lb
368,GARLIC CLOVE FRSH SUPER COLSSL,1,/,5,lb
369,TRAY PLAS CATER BLK FLT SMRTLK,25,/,12,in
370,APPLE RED SLI FRSH,24,/,2,oz
371,BEEF PATTY GRND 80/20 HOMESTYL,40,/,8,oz
372,CEREAL GRANOLA LFAT NO RSN,4,/,50,oz
373,BAG FOIL PLAIN 6.5X1X8,1000,/,,ea
374,PLATE PAPER MLD FBR 10,4,/,125,ct
375,BOWL PLAS BLK PET 32 OZ SQ,1,/,150,ct
376,CEREAL ASSORTED ADULT CUP,1,/,60,ea
377,PAPER PATTY SQUARE 5.5 IN,8,/,1000,ct
378,DRINK LMN/LM ALL STAR 12 OZ,2,/,12,pk
379,CUP PAPER DSP 24OZ JAZZ,1,/,1000,ct
380,BAR GRANOLA PNUTBUTR CHOC CHIP,12,/,8,ct
381,SWORDFISH LOIN CTR CUT,1,/,10,#
382,GRAPE GREEN SEEDLS MED,1,/,,ctn
383,CONTAINER PAPER #4 BLK WAVETOP,90,/,,ct
384,COOKIE VANILLA WAFER NILLA,2,/,2,lb
385,BACON CANADN STY HALF STICK NJ,2,/,5,#avg
386,DOUGH BREAD WHITE DEMI LOAF,60,/,6,oz
387,CAKE SHEET CHOC UNICED 12X16,4,/,48,oz
388,YOGURT STRAWBERRY ORIGINAL,12,/,6,oz
389,POTATO BAKING FRESH 70CT,1,/,50,lb
390,EGGPLANT WHL FRESH,1,/,18,ct
391,CREAM SOUR DAIRY BLEND LITE,4,/,5,lb
392,PEPPER JALAPENO FRESH,1,/,15,lb
393,TOMATO 2 LAYER FRESH 6X6,1,/,72,ct
394,DOUGH PIE LID 10X10SQR,24,/,10,in
395,MUSTARD YELLOW PACKETS,500,/,7,gm
396,RAVIOLI BEEF BRAISED,2,/,3,lb
397,STIRRER PLAS BLK WRPD 5.75,1,/,10000,c
398,PARSLEY ITALIAN,1,/,30,bu
399,SQUASH SPAGHETTI FRESH,1,/,35,#
400,DOUGH BREAD WHEAT PET ST GRD,60,/,6,oz
401,ICE CREAM MINT CHOC CHIP,1,/,3,gal
402,ICE CREAM PEPPERMINT,1,/,3,gal
403,ICE CREAM ROCKY ROAD,1,/,3,gal
404,YOGURT PLAIN GREEK NFAT,12,/,5.3,oz
405,COFFEE GRND 6TH AVENUE BISTRO,42,/,2,oz
406,STRAW PLAS WRPD WHT/RD J 10.25,6,/,500,ct
407,STEAK CUBE SEL FRZN,40,/,4,oz
408,SHEET PLAS ACETATE,1,/,50,ct
409,SALT SEA FINE,12,/,26,oz
410,TOOTHPICK MINT WRPD,12,/,1000,pk
411,LETTUCE FRESH ARCADIAN HRVST,4,/,3,lb
412,WRAP DRY WAX DELI 12X10.75IN,4,/,500,ct
413,POP TART FR STRWBRY WHL GR 1CT,120,/,1.76,oz
414,POP TART FR CINN WHL GRN 2 CT,72,/,3.53,oz
415,LINER BSKT BLK CHECK 12X12,1,/,2000,ct
416,JUICE PRUNE 100% UNSWT CAN,12,/,46,oz
417,CRUST PIE OREO,12,/,6,oz
418,GROUPER FIL NAT 4-6 OZ INDIAN,1,/,10,lb
419,BOX CORR LUNCH ART DECO,50,/,,8x6x4
420,YOGURT BLACK CHERRY GREEK NF,12,/,5.3,oz
421,KIT CUTLERY HVY FSK/SP/NAP BLK,250,/,,ct
422,PUDDING VANILLA SUGAR FREE,48,/,3.25,oz
423,GLOVE VINYL PWDR SMALL,10,/,,100
424,LID DOME WHT CPLA,16,/,50,ct
425,FLOWER EDIBLE MIXED FRSH,1,/,100,ct
426,TOWELETTE MOIST LMN SCENT 8X5,10,/,100,ct
427,CAKE CARAMEL VAN CRNCH SLTD,2,/,14,cut
428,CHEESECAKE BLUBRY WHT CHOC CHS,2,/,10,""""
429,BEEF CHUCK SHLDR TENDER,2,/,10,#avg
430,LEEK BUNCH FRESH,1,/,12,ct
431,TOMATO 2 LAYER 5X6 FRESH,1,/,60,ct
432,CAKE SHEET SPONGE UNICED 12X16,4,/,44,oz
433,CHICKEN DRUMSTICK IQF XLARGE,96,/,3.6,oz
434,PIE CHERRY 10 RTB,6,/,46,oz
435,TENDERIZER MEAT SEASONED,6,/,32,oz
436,POTATO TATER PUFF,6,/,5,lb
437,DOUGH ROLL CINNAMON PET,240,/,1.25,oz
438,DOUGH SCONE CRNBRY ORG FTO,96,/,3.75,oz
439,SPICE ONION GRANULATED,1,/,18,oz.
440,SPICE CUMIN SEED WH,6,/,1,lb
441,TEA ICED BLK FLTR PACK,20,/,1.25,oz
442,CEREAL OATMEAL CNTRY APL/WAL,12,/,2.64,oz
443,PEA SNOW FRESH,1,/,10,lb
444,PEPPER POBLANO FRESH,1,/,10,lb
445,DONUT HOLE VANILLA CAKE,440,/,.4,oz
446,BAG SHOPPING MED 7 GAL COMPOST,500,/,,each
447,STRAWBERRY WHOLE IQF,1,/,30,lb
448,PICKLE CRS CUT KO,1,/,5,gal
449,POTATO HASHBROWN PTY TRI 2 OZ,6,/,5,lb
